Rank,ask_cap,spread_cap,edge3,kill_L,trades,wins,losses,WR%,avg_win,avg_loss,total_pnl,pnl/trade,max_dd,worst_day,worst_wk,pnl_std,pct5_boot,slip_adj,efficiency,kill_acts
249,0.70,0.030,0.66,3,30,17,13,56.7,2.45,-5.00,-23.32,-0.777,23.32,-12.92,-23.32,1.78,-53.87,-24.07,-1.00,1
250,0.70,0.030,0.68,3,30,17,13,56.7,2.45,-5.00,-23.32,-0.777,23.32,-12.92,-23.32,1.78,-53.65,-24.07,-1.00,1
251,0.70,0.020,0.66,3,30,17,13,56.7,2.44,-5.00,-23.44,-0.781,23.44,-12.92,-23.44,1.70,-54.43,-24.19,-1.00,1
252,0.70,0.020,0.68,3,30,17,13,56.7,2.44,-5.00,-23.44,-0.781,23.44,-12.92,-23.44,1.70,-54.51,-24.19,-1.00,1
253,0.70,0.015,0.70,3,29,16,13,55.2,2.52,-5.00,-24.75,-0.853,24.75,-12.40,-24.75,0.03,-55.74,-25.47,-1.00,1
254,0.70,0.015,0.72,3,29,16,13,55.2,2.52,-5.00,-24.75,-0.853,24.75,-12.40,-24.75,0.03,-55.61,-25.47,-1.00,1
255,0.70,0.015,0.74,3,29,16,13,55.2,2.52,-5.00,-24.75,-0.853,24.75,-12.40,-24.75,0.03,-55.84,-25.47,-1.00,1
256,0.72,0.015,0.72,3,29,16,13,55.2,2.52,-5.00,-24.75,-0.853,24.75,-12.40,-24.75,0.03,-55.62,-25.47,-1.00,1
257,0.72,0.015,0.74,3,29,16,13,55.2,2.52,-5.00,-24.75,-0.853,24.75,-12.40,-24.75,0.03,-55.28,-25.47,-1.00,1
258,0.74,0.015,0.74,3,29,16,13,55.2,2.52,-5.00,-24.75,-0.853,24.75,-12.40,-24.75,0.03,-55.96,-25.47,-1.00,1
259,0.70,0.015,0.66,3,29,16,13,55.2,2.49,-5.00,-25.16,-0.868,25.16,-12.77,-25.16,0.26,-55.93,-25.89,-1.00,1
260,0.70,0.015,0.68,3,29,16,13,55.2,2.49,-5.00,-25.16,-0.868,25.16,-12.77,-25.16,0.26,-55.38,-25.89,-1.00,1
261,0.66,0.025,0.66,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.20,-26.13,-1.00,1
262,0.66,0.025,0.68,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.20,-26.13,-1.00,1
263,0.66,0.025,0.70,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.20,-26.13,-1.00,1
264,0.66,0.025,0.72,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.32,-26.13,-1.00,1
